Protocol,PHY,proposal_id,energy,latency,start_slot,end_slot
Paxos (CI),CI,0,215.02321289821288,59,0,59
Paxos (CI),CI,1,138.48475135975133,59,4,63
Paxos (CI),CI,2,114.86936674436672,59,8,67
Paxos (CI),CI,3,101.61295648795645,59,12,71
Paxos (CI),CI,4,86.30526418026417,57,18,75
Paxos (CI),CI,5,74.95141802641803,58,22,80
Paxos (CI),CI,6,69.33603341103341,57,27,84
Paxos (CI),CI,7,67.10526418026416,59,31,90
Paxos (CI),CI,8,66.84564879564877,60,36,96
Paxos (CI),CI,9,67.44393939393936,61,40,101
Paxos (CI),CI,10,66.4516317016317,61,44,105
Paxos (CI),CI,11,64.95512820512823,60,49,109
Paxos (CI),CI,12,65.76923076923077,60,54,114
Paxos (CI),CI,13,65.38461538461547,60,59,119
Paxos (CI),CI,14,65.30769230769243,61,63,124
Paxos (CI),CI,15,65.07692307692324,61,67,128
Paxos (CI),CI,16,65.30769230769249,61,71,132
Paxos (CI),CI,17,64.76923076923097,62,75,137
Paxos (CI),CI,18,64.8461538461541,61,80,141
Paxos (CI),CI,19,64.69230769230799,61,84,145
Paxos (CI),CI,20,63.461538461538794,60,90,150
Paxos (CI),CI,21,60.1538461538465,58,96,154
Paxos (CI),CI,22,57.92307692307725,58,101,159
Paxos (CI),CI,23,58.15384615384647,58,105,163
Paxos (CI),CI,24,58.000000000000284,58,109,167
Paxos (CI),CI,25,57.61538461538487,58,114,172
Paxos (CI),CI,26,57.46153846153868,58,119,177
Paxos (CI),CI,27,57.69230769230791,58,124,182
Paxos (CI),CI,28,57.769230769230944,58,128,186
Paxos (CI),CI,29,57.84615384615404,58,132,190
Paxos (CI),CI,30,57.615384615384755,57,137,194
Paxos (CI),CI,31,56.923076923077076,57,141,198
Paxos (CI),CI,32,56.69230769230779,57,145,202
Paxos (CI),CI,33,56.46153846153857,56,150,206
Paxos (CI),CI,34,57.538461538461604,58,154,212
Paxos (CI),CI,35,60.23076923076934,58,159,217
Paxos (CI),CI,36,60.615384615384755,59,163,222
Paxos (CI),CI,37,60.84615384615398,59,167,226
Paxos (CI),CI,38,60.15384615384636,58,172,230
Paxos (CI),CI,39,61.61538461538481,58,177,235
Paxos (CI),CI,40,61.230769230769454,58,182,240
Paxos (CI),CI,41,61.46153846153868,58,186,244
Paxos (CI),CI,42,62.076923076923265,59,190,249
Paxos (CI),CI,43,62.46153846153868,59,194,253
Paxos (CI),CI,44,62.2307692307694,59,198,257
Paxos (CI),CI,45,63.15384615384636,59,202,261
Paxos (CI),CI,46,62.92307692307713,59,206,265
Paxos (CI),CI,47,62.07692307692332,58,212,270
Paxos (CI),CI,48,58.92307692307713,58,217,275
Paxos (CI),CI,49,59.07692307692321,58,222,280
Paxos (CI),CI,50,59.69230769230779,58,226,284
Paxos (CI),CI,51,59.69230769230779,58,230,288
Paxos (CI),CI,52,59.692307692307736,59,235,294
Paxos (CI),CI,53,61.61538461538464,59,240,299
Paxos (CI),CI,54,61.76923076923083,60,244,304
Paxos (CI),CI,55,60.92307692307702,59,249,308
Paxos (CI),CI,56,61.1538461538463,60,253,313
Paxos (CI),CI,57,61.07692307692321,60,257,317
Paxos (CI),CI,58,60.46153846153857,60,261,321
Paxos (CI),CI,59,60.38461538461547,60,265,325
Paxos (CI),CI,60,60.538461538461604,60,270,330
Paxos (CI),CI,61,61.6153846153847,60,275,335
Paxos (CI),CI,62,62.307692307692434,61,280,341
Paxos (CI),CI,63,64.38461538461553,62,284,346
Paxos (CI),CI,64,64.69230769230779,62,288,350
Paxos (CI),CI,65,63.84615384615404,61,294,355
Paxos (CI),CI,66,63.07692307692321,61,299,360
Paxos (CI),CI,67,62.69230769230785,61,304,365
Paxos (CI),CI,68,62.92307692307713,62,308,370
Paxos (CI),CI,69,62.923076923077076,62,313,375
Paxos (CI),CI,70,63.38461538461564,62,317,379
Paxos (CI),CI,71,63.07692307692332,62,321,383
Paxos (CI),CI,72,64.07692307692332,62,325,387
Paxos (CI),CI,73,63.46153846153874,61,330,391
Paxos (CI),CI,74,62.46153846153874,61,335,396
Paxos (CI),CI,75,61.15384615384653,60,341,401
Paxos (CI),CI,76,59.07692307692355,60,346,406
Paxos (CI),CI,77,59.153846153846644,60,350,410
Paxos (CI),CI,78,58.538461538462,59,355,414
Paxos (CI),CI,79,58.07692307692366,59,360,419
Paxos (CI),CI,80,57.923076923077474,59,365,424
Paxos (CI),CI,81,58.30769230769283,59,370,429
Paxos (CI),CI,82,58.692307692308304,59,375,434
Paxos (CI),CI,83,58.769230769231285,60,379,439
Paxos (CI),CI,84,58.69230769230819,60,383,443
Paxos (CI),CI,85,57.923076923077474,60,387,447
Paxos (CI),CI,86,57.84615384615438,60,391,451
Paxos (CI),CI,87,57.538461538462116,59,396,455
Paxos (CI),CI,88,58.74358974359018,59,401,460
Paxos (CI),CI,89,60.72960372960404,60,406,466
Paxos (CI),CI,90,66.39114219114254,61,410,471
Paxos (CI),CI,91,68.53644133644173,61,414,475
Paxos (CI),CI,92,70.3633644133647,60,419,479
Paxos (CI),CI,93,76.1435841935845,60,424,484
Paxos (CI),CI,94,80.5410200910203,60,429,489
Paxos (CI),CI,95,87.41794316794346,60,434,494
Paxos (CI),CI,96,96.45640470640501,59,439,498
Paxos (CI),CI,97,110.86666111666148,59,443,502
Paxos (CI),CI,98,133.1358918858922,59,447,506
Paxos (CI),CI,99,194.1358918858922,60,451,511
2PC (CI),CI,0,16.77,125,0,125
2PC (CI),CI,1,17.325555555555553,129,0,129
2PC (CI),CI,2,17.907188208616777,133,0,133
2PC (CI),CI,3,18.44327068284358,137,0,137
2PC (CI),CI,4,19.109937349510243,141,0,141
2PC (CI),CI,5,19.688884717931295,146,0,146
2PC (CI),CI,6,20.359097483888743,151,0,151
2PC (CI),CI,7,20.961248021523154,155,0,155
2PC (CI),CI,8,21.646030630218807,160,0,160
2PC (CI),CI,9,22.294382278570453,164,0,164
2PC (CI),CI,10,22.88327116745934,168,0,168
2PC (CI),CI,11,23.62484420116721,173,0,173
2PC (CI),CI,12,24.238480564803574,178,0,178
2PC (CI),CI,13,24.92813573721737,183,0,183
2PC (CI),CI,14,25.5676706209383,187,0,187
2PC (CI),CI,15,26.273552973879475,192,0,192
2PC (CI),CI,16,26.940219640546143,197,0,197
2PC (CI),CI,17,27.639014821269036,201,0,201
2PC (CI),CI,18,28.297551406634888,206,0,206
2PC (CI),CI,19,28.9765637523139,210,0,210
2PC (CI),CI,20,30.0140637523139,216,0,216
2PC (CI),CI,21,31.254570081427822,221,0,221
2PC (CI),CI,22,32.07508290194064,226,0,226
2PC (CI),CI,23,32.82832965518739,231,0,231
2PC (CI),CI,24,33.74938228676634,237,0,237
2PC (CI),CI,25,35.22938228676634,243,0,243
2PC (CI),CI,26,36.33749039487445,248,0,248
2PC (CI),CI,27,37.11831231268267,252,0,252
2PC (CI),CI,28,37.97942342379378,257,0,257
2PC (CI),CI,29,38.75407131111773,261,0,261
2PC (CI),CI,30,39.496928453974874,265,0,265
2PC (CI),CI,31,40.438957439482124,269,0,269
2PC (CI),CI,32,41.24778096889389,274,0,274
2PC (CI),CI,33,42.12837798381926,279,0,279
2PC (CI),CI,34,42.976862832304114,283,0,283
2PC (CI),CI,35,43.94609360153488,288,0,288
2PC (CI),CI,36,44.99296860153488,293,0,293
2PC (CI),CI,37,45.834238442804725,297,0,297
2PC (CI),CI,38,46.85036747506279,302,0,302
2PC (CI),CI,39,47.75200681932508,307,0,307
2PC (CI),CI,40,48.76867348599175,312,0,312
2PC (CI),CI,41,49.683927723279886,316,0,316
2PC (CI),CI,42,50.78737599914195,322,0,322
2PC (CI),CI,43,52.13825319212441,326,0,326
2PC (CI),CI,44,53.12039604926727,330,0,330
2PC (CI),CI,45,54.15675968563091,335,0,335
2PC (CI),CI,46,55.19379672266794,340,0,340
2PC (CI),CI,47,56.53341936417738,345,0,345
2PC (CI),CI,48,57.97572705648506,351,0,351
2PC (CI),CI,49,59.81886431138703,356,0,356
2PC (CI),CI,50,60.99886431138704,361,0,361
2PC (CI),CI,51,62.100905127713574,365,0,365
2PC (CI),CI,52,63.538405127713574,370,0,370
2PC (CI),CI,53,64.7298944894157,375,0,375
2PC (CI),CI,54,66.01250318506787,380,0,380
2PC (CI),CI,55,67.2347254072901,384,0,384
2PC (CI),CI,56,68.50745268001738,388,0,388
2PC (CI),CI,57,69.83303407536621,393,0,393
2PC (CI),CI,58,71.33303407536621,397,0,397
2PC (CI),CI,59,72.65010724609793,401,0,401
