seed,nodes,topology,loss_rate,flood_repeats,protocol,phy,diameter,edges,proposals,committed,aborted,timed_out,avg_latency,listen,flood,sleep,nacks,piggybacks,ce_timeouts,end_slot
2,6,random,0,1,paxos_pipeline,ci,2,11,100,100,0,0,8.51,651,618,477,0,0,0,289
2,6,random,0,1,2pc_pipeline,ci,2,11,100,100,0,0,17.00,671,636,493,0,0,0,297
2,6,random,0,1,tom_pipeline,ci,2,11,100,100,0,0,2.83,633,600,465,0,0,0,283
2,6,random,0,0,paxos_ce,ce,2,11,100,100,0,0,6.85,2371,1739,0,0,0,22,685
2,6,random,0,0,2pc_ce,ce,2,11,100,100,0,0,11.01,3910,2696,0,0,0,97,1101
2,6,random,0,0,tom_ce,ce,2,11,100,100,0,0,2.83,1015,683,0,0,0,0,283
2,6,random,0.05,1,paxos_pipeline,ci,2,11,100,100,0,0,8.63,676,618,482,0,0,0,293
2,6,random,0.05,1,2pc_pipeline,ci,2,11,100,100,0,0,17.30,698,636,496,0,0,0,302
2,6,random,0.05,1,tom_pipeline,ci,2,11,100,100,0,0,2.87,657,600,465,0,0,0,287
2,6,random,0.05,0,paxos_ce,ce,2,11,100,100,0,0,6.78,2344,1724,0,0,0,0,678
2,6,random,0.05,0,2pc_ce,ce,2,11,100,100,0,0,10.84,3839,2665,0,0,0,72,1084
2,6,random,0.05,0,tom_ce,ce,2,11,100,100,0,0,2.93,1061,697,0,0,0,0,293
2,6,random,0.1,1,paxos_pipeline,ci,2,11,100,100,0,0,8.96,756,671,565,0,0,0,304
2,6,random,0.1,1,2pc_pipeline,ci,2,11,100,99,1,0,17.86,725,635,530,2,5,0,312
2,6,random,0.1,1,tom_pipeline,ci,2,11,100,100,0,0,2.98,685,605,516,1,1,0,298
2,6,random,0.1,0,paxos_ce,ce,2,11,100,100,0,0,6.81,2392,1694,0,0,0,8,681
2,6,random,0.1,0,2pc_ce,ce,2,11,100,100,0,0,11.66,4311,2685,0,0,0,156,1166
2,6,random,0.1,0,tom_ce,ce,2,11,100,100,0,0,2.96,1077,699,0,0,0,0,296
2,6,random,0.2,1,paxos_pipeline,ci,2,11,100,100,0,0,9.68,772,615,581,3,15,0,325
2,6,random,0.2,1,2pc_pipeline,ci,2,11,100,99,1,0,18.91,779,633,592,6,15,0,331
2,6,random,0.2,1,tom_pipeline,ci,2,11,100,100,0,0,3.19,752,597,565,3,3,0,319
2,6,random,0.2,0,paxos_ce,ce,2,11,100,100,0,0,7.22,2618,1714,0,0,0,23,722
2,6,random,0.2,0,2pc_ce,ce,2,11,100,100,0,0,12.98,4973,2815,0,0,0,236,1298
2,6,random,0.2,0,tom_ce,ce,2,11,100,100,0,0,3.16,1167,729,0,0,0,0,316
2,13,random,0,1,paxos_pipeline,ci,4,26,100,100,0,0,23.59,2341,1378,1676,0,0,0,411
2,13,random,0,1,2pc_pipeline,ci,4,26,100,100,0,0,51.00,2501,1469,1802,0,0,0,440
2,13,random,0,1,tom_pipeline,ci,4,26,100,100,0,0,3.93,2213,1300,1596,0,0,0,393
2,13,random,0,0,paxos_ce,ce,4,26,100,100,0,0,10.32,8061,5355,0,0,0,19,1032
2,13,random,0,0,2pc_ce,ce,4,26,100,100,0,0,18.19,14396,9251,0,0,0,222,1819
2,13,random,0,0,tom_ce,ce,4,26,100,100,0,0,3.93,3360,1749,0,0,0,0,393
2,13,random,0.05,1,paxos_pipeline,ci,4,26,100,100,0,0,24.14,2429,1378,1718,0,0,0,421
