seed,nodes,topology,loss_rate,flood_repeats,protocol,phy,diameter,edges,proposals,committed,aborted,timed_out,avg_latency,listen,flood,sleep,nacks,piggybacks,ce_timeouts,end_slot
2,27,line,0.05,1,paxos_pipeline,ci,26,26,100,100,0,0,237.02,47133,4075,33275,99,603,0,1512
2,27,line,0.05,1,2pc_pipeline,ci,26,26,100,0,100,0,0.00,229416,19872,169347,127,1056,0,1716
2,27,line,0.05,1,tom_pipeline,ci,26,26,100,100,0,0,1005.86,42490,3679,30079,120,105,0,2587
2,27,line,0.05,0,paxos_ce,ce,26,26,100,100,0,0,120.71,265492,60425,0,0,0,44504,12071
2,27,line,0.05,0,2pc_ce,ce,26,26,100,100,0,0,271.22,595937,136357,0,0,0,103248,27122
2,27,line,0.05,0,tom_ce,ce,26,26,100,100,0,0,108.16,237734,54298,0,0,0,39507,10816
2,27,partial_mesh,0.05,1,paxos_pipeline,ci,3,117,100,100,0,0,46.20,5088,3051,2661,0,0,0,396
2,27,partial_mesh,0.05,1,2pc_pipeline,ci,3,117,100,100,0,0,96.60,5732,3429,3043,0,0,0,448
2,27,partial_mesh,0.05,1,tom_pipeline,ci,3,117,100,100,0,0,3.54,4506,2700,2352,0,0,0,354
2,27,partial_mesh,0.05,0,paxos_ce,ce,3,117,100,100,0,0,12.70,19182,15108,0,0,0,0,1270
2,27,partial_mesh,0.05,0,2pc_ce,ce,3,117,100,100,0,0,23.58,36396,27270,0,0,0,395,2358
2,27,partial_mesh,0.05,0,tom_ce,ce,3,117,100,100,0,0,3.54,6400,3158,0,0,0,0,354
2,27,random,0.05,1,paxos_pipeline,ci,4,62,100,100,0,0,59.26,6559,3051,4187,0,0,0,507
2,27,random,0.05,1,2pc_pipeline,ci,4,62,100,100,0,0,120.35,7325,3429,4393,0,0,0,557
2,27,random,0.05,1,tom_pipeline,ci,4,62,100,100,0,0,4.52,5796,2700,3708,0,0,0,452
2,27,random,0.05,0,paxos_ce,ce,4,62,100,100,0,0,13.74,21907,15191,0,0,0,0,1374
2,27,random,0.05,0,2pc_ce,ce,4,62,100,100,0,0,22.86,36546,25176,0,0,0,198,2286
2,27,random,0.05,0,tom_ce,ce,4,62,100,100,0,0,4.43,8312,3649,0,0,0,0,443
2,27,scale_free,0.05,1,paxos_pipeline,ci,5,51,100,100,0,0,62.80,7975,3425,5151,1,26,0,537
2,27,scale_free,0.05,1,2pc_pipeline,ci,5,51,100,96,4,0,129.07,8505,3640,5297,7,104,0,599
2,27,scale_free,0.05,1,tom_pipeline,ci,5,51,100,100,0,0,4.80,6238,2696,4026,4,4,0,480
2,27,scale_free,0.05,0,paxos_ce,ce,5,51,100,100,0,0,15.59,25500,16593,0,0,0,16,1559
2,27,scale_free,0.05,0,2pc_ce,ce,5,51,100,100,0,0,35.51,62252,33625,0,0,0,2835,3551
2,27,scale_free,0.05,0,tom_ce,ce,5,51,100,100,0,0,4.85,9065,4030,0,0,0,3,485
2,27,full_mesh,0.05,1,paxos_pipeline,ci,1,351,100,100,0,0,36.70,3104,3051,2431,0,0,0,315
