topology,Protocol,diameter,thr,thr_std,lat,lat_std,eng,eng_std,eff,commit
line,2PC (CE),26.0,0.0038,0.0001,265.6,5.6,7190.9,166.8,0.0,99.9
line,2PC (CI),26.0,0.0001,0.0005,108.1,418.6,190180.8,84072.6,0.0,0.2
line,Paxos (CE),26.0,0.0087,0.0003,114.4,3.4,3089.0,91.3,0.0,100.0
line,Paxos (CI),26.0,0.0625,0.0032,204.4,32.5,518.8,11.8,0.12,100.0
line,TOM (CE),26.0,0.0093,0.0003,108.0,3.1,2916.0,84.2,0.0,100.0
line,TOM (CI),26.0,0.0454,0.0066,616.1,368.3,401.3,49.3,0.12,100.0
partial_mesh,2PC (CE),3.0,0.0431,0.0011,23.2,0.6,627.1,15.9,0.07,100.0
partial_mesh,2PC (CI),3.0,0.2333,0.0077,260.9,8.1,89.9,0.8,2.59,100.0
partial_mesh,Paxos (CE),3.0,0.08,0.001,12.5,0.2,337.5,4.4,0.24,100.0
partial_mesh,Paxos (CI),3.0,0.2635,0.0096,44.2,1.6,80.2,1.1,3.29,100.0
partial_mesh,TOM (CE),3.0,0.294,0.0107,3.4,0.1,92.0,3.3,3.2,100.0
partial_mesh,TOM (CI),3.0,0.2953,0.0109,3.4,0.1,70.8,0.6,4.17,100.0
random,2PC (CE),4.2,0.0412,0.0017,24.3,1.0,657.1,28.0,0.06,100.0
random,2PC (CI),4.2,0.1681,0.0104,357.7,18.7,115.8,9.1,1.46,98.9
random,Paxos (CE),4.2,0.0704,0.0017,14.2,0.4,383.6,9.5,0.18,100.0
random,Paxos (CI),4.2,0.1903,0.0088,61.4,2.9,100.2,4.9,1.91,100.0
random,TOM (CE),4.2,0.2143,0.0101,4.7,0.2,126.3,6.0,1.7,100.0
random,TOM (CI),4.2,0.2132,0.0101,4.7,0.2,88.0,2.7,2.43,100.0
scale_free,2PC (CE),4.1,0.0302,0.0023,33.3,2.7,899.5,72.3,0.03,100.0
scale_free,2PC (CI),4.1,0.1682,0.0069,350.0,13.6,121.7,9.0,1.39,97.3
scale_free,Paxos (CE),4.1,0.0629,0.0015,15.9,0.4,429.3,10.0,0.15,100.0
scale_free,Paxos (CI),4.1,0.1958,0.0075,59.6,2.4,106.5,3.4,1.84,100.0
scale_free,TOM (CE),4.1,0.217,0.0083,4.6,0.2,124.6,4.8,1.75,100.0
scale_free,TOM (CI),4.1,0.2197,0.0083,4.6,0.2,88.8,1.4,2.48,100.0
full_mesh,2PC (CE),1.0,0.0324,0.0004,30.9,0.4,834.3,9.7,0.04,100.0
full_mesh,2PC (CI),1.0,0.2913,0.0035,208.9,2.2,69.0,0.1,4.22,100.0
full_mesh,Paxos (CE),1.0,0.0655,0.0008,15.3,0.2,412.5,5.1,0.16,100.0
full_mesh,Paxos (CI),1.0,0.3272,0.0056,35.4,0.7,61.4,0.1,5.33,100.0
full_mesh,TOM (CE),1.0,0.3653,0.0054,2.7,0.0,73.9,1.1,4.94,100.0
full_mesh,TOM (CI),1.0,0.3671,0.0065,2.7,0.0,54.3,0.1,6.76,100.0
